Timingchain (UnityEngine.GameObject) | Data | Time | 0
4 (UnityEngine.GameObject) | LOD | Distance | 1709.934
4 (UnityEngine.GameObject) | LOD | LOD | 500
Starter (UnityEngine.GameObject) | Data | Time | 0
Sleep (UnityEngine.GameObject) | Activate | FadeTime | 4
Sleep (UnityEngine.GameObject) | Activate | GameVolume | 0
Sleep (UnityEngine.GameObject) | Activate | Rate | 0
Piston1 (UnityEngine.GameObject) | Data | Time | 0
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Tire1pos | -0.115219
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Tire2pos | -0.116376
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | TireAngle | -0.03682793
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Travel | 0.001156986
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Wheelbase | 1.800003
RadioVolume (UnityEngine.GameObject) | Knob | Rot | 0
RadioVolume (UnityEngine.GameObject) | Knob | Scroll | 0
RadioVolume (UnityEngine.GameObject) | Knob | Tune | 0.091
RadioVolume (UnityEngine.GameObject) | Knob | Volume | 0
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 2.418638
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.006232386
ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
Simulation (UnityEngine.GameObject) | Time | CoolingSauna | 0.08
Simulation (UnityEngine.GameObject) | Time | CoolingStove | 0.02
Simulation (UnityEngine.GameObject) | Time | MaxSaunaHeat | 0
Simulation (UnityEngine.GameObject) | Time | SaunaHeat | 24
Simulation (UnityEngine.GameObject) | Time | StoveHeat | 24
Racing Exhaust (UnityEngine.GameObject) | Data | Time | 0
Transmission (UnityEngine.GameObject) | Transmission | FinalGear | 4.625
Transmission (UnityEngine.GameObject) | Transmission | Fluid | 0.5
Transmission (UnityEngine.GameObject) | Transmission | Rate | 0
Transmission (UnityEngine.GameObject) | Transmission | Tightness | 16
Transmission (UnityEngine.GameObject) | Transmission | Wear | 0
Transmission (UnityEngine.GameObject) | Gear Linkage | Random | 0
Transmission (UnityEngine.GameObject) | Gear Linkage | Rate | 0
Transmission (UnityEngine.GameObject) | Gear Linkage | Tightness | 48
Transmission (UnityEngine.GameObject) | Gear Linkage | Tightness1 | 24
Transmission (UnityEngine.GameObject) | Gear Linkage | Tightness2 | 24
RadioTuner (UnityEngine.GameObject) | Knob | Rot | 890.0003
RadioTuner (UnityEngine.GameObject) | Knob | Scroll | 0
RadioTuner (UnityEngine.GameObject) | Knob | Tune | 0.08900003
InspectionProcess (UnityEngine.GameObject) | Inspect | Value | 0
InspectionProcess (UnityEngine.GameObject) | Inspect | Value2 | 0
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 2.537134
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.003046296
ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
Pivot (UnityEngine.GameObject) | Scale | Scale | 0.1186642
Fender_Left (UnityEngine.GameObject) | Data | Time | 0
HouseShit1 (UnityEngine.GameObject) | LOD | Distance | 2039.717
HouseShit1 (UnityEngine.GameObject) | LOD | LOD | 400
Gear (UnityEngine.GameObject) | Use | Distance | 0
LogTrigger (UnityEngine.GameObject) | Logic | Firewood | 0
LogTrigger (UnityEngine.GameObject) | Logic | Logs | 0
LogTrigger (UnityEngine.GameObject) | Logic | Mass | 500
LogTrigger (UnityEngine.GameObject) | Logic | Price | 0
LogTrigger (UnityEngine.GameObject) | Logic | Scale | 0
LogTrigger (UnityEngine.GameObject) | Logic | ScalePile | 0
ClockCar (UnityEngine.GameObject) | Time | Hours24X | -0.1
ClockCar (UnityEngine.GameObject) | Time | Minutes24X | -1.2
Sleep (UnityEngine.GameObject) | Activate | FadeTime | 4
Sleep (UnityEngine.GameObject) | Activate | GameVolume | 0
Sleep (UnityEngine.GameObject) | Activate | Rate | 0
Airfilter (UnityEngine.GameObject) | Data | Time | 0
PlayerShitTrigger (UnityEngine.GameObject) | Death | Distance | 0
KnockOut (UnityEngine.GameObject) | Activate | GameVolume | 0
KnockOut (UnityEngine.GameObject) | Activate | PassingOutTime | 0
KnockOut (UnityEngine.GameObject) | Activate | Rate | 0
KnockOut (UnityEngine.GameObject) | Activate | X | -90
YARD (UnityEngine.GameObject) | LOD | Distance | 23.98428
YARD (UnityEngine.GameObject) | LOD | LOD | 200
Air Pressure (UnityEngine.GameObject) | Pressure | Pressure | 870
Air Pressure (UnityEngine.GameObject) | Pressure | Rotation | -238.3562
TriggerOut (UnityEngine.GameObject) | Trigger | Distance | 0
WheelSteelRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.165
WheelSteelRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2715
WheelSteelRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0.145
Ticket (UnityEngine.GameObject) | Button | Price | 25
PassOut (UnityEngine.GameObject) | Activate | Distance | 0
PassOut (UnityEngine.GameObject) | Activate | GameVolume | 0
PassOut (UnityEngine.GameObject) | Activate | PassingOutTime | 0
PassOut (UnityEngine.GameObject) | Activate | Rate | 0
PassOut (UnityEngine.GameObject) | Activate | X | -90
Seat_Driver (UnityEngine.GameObject) | Data | Time | 0
MuscleHandles (UnityEngine.GameObject) | Use | Rot | 0
Handles (UnityEngine.GameObject) | Use | OldRot | 0
Handles (UnityEngine.GameObject) | Use | Rot | 0
Handles (UnityEngine.GameObject) | Use | Rotation | 0
TurnSignals (UnityEngine.GameObject) | Usage | Delay | 0.3
TurnSignals (UnityEngine.GameObject) | Usage | Volume | 0
TurnSignals (UnityEngine.GameObject) | Usage | WheelAngle | 0
Odometer (UnityEngine.GameObject) | Data | KmRot | -227.9466
Odometer (UnityEngine.GameObject) | Data | Meters | 7000
Odometer (UnityEngine.GameObject) | Data | MpS | 0
Odometer (UnityEngine.GameObject) | Data | Odo | 6331.848
Odometer (UnityEngine.GameObject) | Data | Rotation | -36
Water (UnityEngine.GameObject) | Level | Level | 0
Water (UnityEngine.GameObject) | Level | Scale | 1
Water (UnityEngine.GameObject) | Level | Water | 0
JunkYardJob (UnityEngine.GameObject) | Distance | CheckDistance | 50
JunkYardJob (UnityEngine.GameObject) | Distance | Distance | 0
Water (UnityEngine.GameObject) | Level | Level | 0
Water (UnityEngine.GameObject) | Level | Scale | 1
Water (UnityEngine.GameObject) | Level | Water | 0
Parking Brake (UnityEngine.GameObject) | Add Joint | MinimumRequiredVelocity | 0.08
Parking Brake (UnityEngine.GameObject) | Add Joint | VeloX | 0.002696573
Parking Brake (UnityEngine.GameObject) | Add Joint | VeloY | -0.007881435
Parking Brake (UnityEngine.GameObject) | Add Joint | VeloZ | 0.003096673
Parking Brake (UnityEngine.GameObject) | Brake | BrakePressure | 1
ClutchPlate (UnityEngine.GameObject) | Data | Time | 0
TriggerIn (UnityEngine.GameObject) | Trigger | Distance | 0
lantern(itemx) (UnityEngine.GameObject) | Use | Intensity | 0
PlayerTrigger (UnityEngine.GameObject) | PlayerTrigger | Distance | 0
SteeringRod_FR (UnityEngine.GameObject) | Data | Alignment | 0
WoodTrigger (UnityEngine.GameObject) | Trigger | Wood | 0
Starter (UnityEngine.GameObject) | Starter | FuelLevel | 0
Starter (UnityEngine.GameObject) | Starter | RPM | 0
GaugeRPM (UnityEngine.GameObject) | Data | Time | 0
Navigation (UnityEngine.GameObject) | Raycast | Distance | 0
Navigation (UnityEngine.GameObject) | Raycast | Lane | 2
Navigation (UnityEngine.GameObject) | Raycast | LaneOther | 0
Navigation (UnityEngine.GameObject) | Raycast | RaycastDistance | 400
Navigation (UnityEngine.GameObject) | Raycast | Speed | 0
Navigation (UnityEngine.GameObject) | Passing | Aggression | 50.32354
Navigation (UnityEngine.GameObject) | Passing | Difference | 0
Navigation (UnityEngine.GameObject) | Passing | Distance | 0
Navigation (UnityEngine.GameObject) | Passing | LaneDrive | 2
Navigation (UnityEngine.GameObject) | Passing | LanePassing | -2
Navigation (UnityEngine.GameObject) | Passing | Math | 6.70138
Navigation (UnityEngine.GameObject) | Passing | PassMultiplier | 1.5
Navigation (UnityEngine.GameObject) | Passing | ReturnLane | 2
Navigation (UnityEngine.GameObject) | Passing | SpeedHigh | 60
Navigation (UnityEngine.GameObject) | Passing | SpeedLow | 50
Navigation (UnityEngine.GameObject) | Passing | SpeedMax | 65.52134
Navigation (UnityEngine.GameObject) | Passing | SpeedMin | 58.81996
Navigation (UnityEngine.GameObject) | Passing | SpeedOther | 0
Navigation (UnityEngine.GameObject) | Passing | SpeedThis | 0
Navigation (UnityEngine.GameObject) | Passing | Steer | 0
Navigation (UnityEngine.GameObject) | Brakezones | BrakeDistance | 12
Navigation (UnityEngine.GameObject) | Brakezones | Distance | 0
Navigation (UnityEngine.GameObject) | Brakezones | Distance0 | 196.6047
Navigation (UnityEngine.GameObject) | Brakezones | Distance1 | 150.7121
Navigation (UnityEngine.GameObject) | Brakezones | Distance2 | 251.5605
Navigation (UnityEngine.GameObject) | Brakezones | Distance3 | 189.774
Navigation (UnityEngine.GameObject) | Brakezones | Distance4 | 425.3555
Navigation (UnityEngine.GameObject) | Brakezones | Distance5 | 2183.949
WheelRallyRR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelRallyRR (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2875
WheelRallyRR (UnityEngine.GameObject) | Data | SettingTireWidth | 0.163
WheelHayosikoRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelHayosikoRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0
WheelHayosikoRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0
BoltPM (UnityEngine.GameObject) | Screw | Alignment | 7.5
BoltPM (UnityEngine.GameObject) | Screw | Max | 12
BoltPM (UnityEngine.GameObject) | Screw | Min | 1
CHURCH (UnityEngine.GameObject) | LOD | Distance | 1805.618
CHURCH (UnityEngine.GameObject) | LOD | LOD | 200
WheelRallyFL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelRallyFL (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2875
WheelRallyFL (UnityEngine.GameObject) | Data | SettingTireWidth | 0.163
BoltPM (UnityEngine.GameObject) | Screw | BoltSize | 0
BoltPM (UnityEngine.GameObject) | Screw | Scroll | 0
Flares_RL (UnityEngine.GameObject) | Data | Time | 0
WheelSteelFR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.165
WheelSteelFR (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2715
WheelSteelFR (UnityEngine.GameObject) | Data | SettingTireWidth | 0.145
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 1.344425
ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.005739856
ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
LookTarget (UnityEngine.GameObject) | Move | Z | 0.06251417
STATUSD (UnityEngine.GameObject) | LOD | Distance | 1765.36
STATUSD (UnityEngine.GameObject) | LOD | LOD | 300
STATUSD (UnityEngine.GameObject) | Throttle | Brake | 0
STATUSD (UnityEngine.GameObject) | Throttle | CrashSpeed | 0
STATUSD (UnityEngine.GameObject) | Throttle | DeathSpeedMPS | 5
STATUSD (UnityEngine.GameObject) | Throttle | RPM | 0
STATUSD (UnityEngine.GameObject) | Throttle | RandomThrottle | 0.8713304
STATUSD (UnityEngine.GameObject) | Throttle | SpeedCurrent | 65.19795
STATUSD (UnityEngine.GameObject) | Throttle | SpeedMax | 65.52134
STATUSD (UnityEngine.GameObject) | Throttle | SpeedMin | 58.81996
STATUSD (UnityEngine.GameObject) | Throttle | TargetSpeed | 0
STATUSD (UnityEngine.GameObject) | Throttle | ThrottleAccel | 0.85
STATUSD (UnityEngine.GameObject) | Throttle | ThrottleCruise | 0.1
STATUSD (UnityEngine.GameObject) | Throttle | Velo | 0
STATUSD (UnityEngine.GameObject) | Throttle | Wait | 0.9797903
STATUSD (UnityEngine.GameObject) | Steering | Angle | -1.990996
STATUSD (UnityEngine.GameObject) | Steering | Angle2 | -0.09856143
STATUSD (UnityEngine.GameObject) | Steering | Lane | 2
STATUSD (UnityEngine.GameObject) | Steering | SpeedKMH | 65.19795
Cooling (UnityEngine.GameObject) | Cooling | Charge | 127
Cooling (UnityEngine.GameObject) | Cooling | Cooling | 0
Cooling (UnityEngine.GameObject) | Cooling | Heat | 0
Cooling (UnityEngine.GameObject) | Cooling | HeatGeneration | 10000
Cooling (UnityEngine.GameObject) | Cooling | Math1 | 168
Cooling (UnityEngine.GameObject) | Cooling | Temp | 24
Cooling (UnityEngine.GameObject) | Cooling | WaterCoolEfficiency | 0
Cooling (UnityEngine.GameObject) | Cooling | WaterLevel | 7
Cooling (UnityEngine.GameObject) | Cooling | WaterPressureDivider | 57.1
Cooling (UnityEngine.GameObject) | Cooling | WaterPressureLimit | 16
Cooling (UnityEngine.GameObject) | Cooling | WaterPressurePSI | 0
BoltPM (UnityEngine.GameObject) | Screw | Alignment | 7.5
BoltPM (UnityEngine.GameObject) | Screw | Max | 12
BoltPM (UnityEngine.GameObject) | Screw | Min | 1
FromEngine (UnityEngine.GameObject) | ExhaustSound | Emission | 0
FromEngine (UnityEngine.GameObject) | ExhaustSound | RPM | 0
FromEngine (UnityEngine.GameObject) | ExhaustSound | RPM2 | 0
FromEngine (UnityEngine.GameObject) | ExhaustSound | Throttle | 0
FromEngine (UnityEngine.GameObject) | ExhaustSound | Velocity | 0
Sleep (UnityEngine.GameObject) | Activate | FadeTime | 4
Sleep (UnityEngine.GameObject) | Activate | GameVolume | 0
Sleep (UnityEngine.GameObject) | Activate | Rate | 0
opener (UnityEngine.GameObject) | Knob | Knob | 0
opener (UnityEngine.GameObject) | Knob | Rot | 0
opener (UnityEngine.GameObject) | Knob | Scroll | 0
opener (UnityEngine.GameObject) | Knob | X | 0
opener (UnityEngine.GameObject) | Knob | Y | 0
STORE (UnityEngine.GameObject) | LOD | Distance | 1939.338
STORE (UnityEngine.GameObject) | LOD | LOD | 400
Trigger (UnityEngine.GameObject) | Use | Y | 0.04
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.15
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloZ | 0
Twin Carburators (UnityEngine.GameObject) | Data | IdleAdjust | 14.1
Twin Carburators (UnityEngine.GameObject) | Data | Max | 18
Twin Carburators (UnityEngine.GameObject) | Data | Min | 13
Flares_RR (UnityEngine.GameObject) | Data | Time | 0
Drivegear (UnityEngine.GameObject) | Data | Time | 0
DRAGRACE (UnityEngine.GameObject) | LOD | Distance | 1285.344
DRAGRACE (UnityEngine.GameObject) | LOD | LOD | 700
HeadPivot (UnityEngine.GameObject) | Look | Rot | 295.3667
SoundAmbience (UnityEngine.GameObject) | DayNight | FadeTime | 8
SoundAmbience (UnityEngine.GameObject) | DayNight | MaxVolume | 1
Hoist (UnityEngine.GameObject) | Hook | BreakForce | 62000
Hoist (UnityEngine.GameObject) | BoltCheck | BoltedNO | 0
Hoist (UnityEngine.GameObject) | BoltCheck | BoltedYES | 10
Hoist (UnityEngine.GameObject) | BoltCheck | Tightness | 0
BusStopKesseli (UnityEngine.GameObject) | Stopping | Distance | 2124.197
gasoline(itemx) (UnityEngine.GameObject) | Explosion | Fuel | 0
gasoline(itemx) (UnityEngine.GameObject) | Explosion | Math | 0
CamshaftGear (UnityEngine.GameObject) | Data | Time | 0
WheelSpokeFL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelSpokeFL (UnityEngine.GameObject) | Data | SettingTireRadius | 0
WheelSpokeFL (UnityEngine.GameObject) | Data | SettingTireWidth | 0
RPM (UnityEngine.GameObject) | RPM | RPM | 0
RPM (UnityEngine.GameObject) | RPM | Rotation | 0
Hubcap_RR (UnityEngine.GameObject) | Data | Time | 0
Sparkplug3 (UnityEngine.GameObject) | Data | Time | 0
Starter (UnityEngine.GameObject) | Starter | Charge | 0
Starter (UnityEngine.GameObject) | Starter | StarterPitch | 0
VanHandles (UnityEngine.GameObject) | Use | OldRot | 0
VanHandles (UnityEngine.GameObject) | Use | Rot | 0
VanHandles (UnityEngine.GameObject) | Use | Rotation | 0
Bucket Seat Passenger (UnityEngine.GameObject) | Data | Time | 0
trigger_xmas_lights (UnityEngine.GameObject) | Assembly | Distance | 40.58152
Gears (UnityEngine.GameObject) | Data | FinalGear | 4.625
HouseShit5 (UnityEngine.GameObject) | LOD | Distance | 1695.86
HouseShit5 (UnityEngine.GameObject) | LOD | LOD | 200
BoozeJob (UnityEngine.GameObject) | Job | CallChance | 0.8100001
BoozeJob (UnityEngine.GameObject) | Job | CallChanceNot | 1
BoozeJob (UnityEngine.GameObject) | Job | SpawnerPos | 0
BoozeJob (UnityEngine.GameObject) | Job | SpawnerRot | 0
Cylinderhead (UnityEngine.GameObject) | Data | Time | 0
RadioTuner (UnityEngine.GameObject) | Knob | Rot | 729.9993
RadioTuner (UnityEngine.GameObject) | Knob | Scroll | 0
RadioTuner (UnityEngine.GameObject) | Knob | Tune | 0.07299992
doorr (UnityEngine.GameObject) | Use | OldRot | 0
doorr (UnityEngine.GameObject) | Use | Rot | 0
doorr (UnityEngine.GameObject) | Use | Rotation | 0
ButtonTime (UnityEngine.GameObject) | Screw | Math1 | 720
ButtonTime (UnityEngine.GameObject) | Screw | ScrewAmount | 10
ButtonTime (UnityEngine.GameObject) | Screw | Scroll | 0
ButtonTime (UnityEngine.GameObject) | Screw | Timer | 120
Cooling (UnityEngine.GameObject) | Cooling | Cooling | 0
Cooling (UnityEngine.GameObject) | Cooling | EngineTemp | 25
Cooling (UnityEngine.GameObject) | Cooling | Heat | 0
Cooling (UnityEngine.GameObject) | Cooling | HeatGeneration | 2000
Cooling (UnityEngine.GameObject) | Cooling | RPM | 0
Cooling (UnityEngine.GameObject) | Cooling | Speed | 6.283214E-09
Cooling (UnityEngine.GameObject) | Cooling | WaterLevel | 11
PlayerShitTrigger (UnityEngine.GameObject) | Death | Distance | 0
Sparkplug4 (UnityEngine.GameObject) | Data | Time | 0
Bootlid (UnityEngine.GameObject) | Use | RayDistance | 1.5
Bootlid (UnityEngine.GameObject) | Use | Rotation | 0
Stock_back_panel (UnityEngine.GameObject) | Data | Time | 0
Piston4 (UnityEngine.GameObject) | Data | Time | 0
WheelSpokeFR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelSpokeFR (UnityEngine.GameObject) | Data | SettingTireRadius | 0
WheelSpokeFR (UnityEngine.GameObject) | Data | SettingTireWidth | 0
Grille (UnityEngine.GameObject) | Data | Time | 0
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Tire1pos | -0.1295
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Tire2pos | -0.1306179
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | TireAngle | -0.03558338
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Travel | 0.001117885
RearIK_2 (UnityEngine.GameObject) | CalculateAngle | Wheelbase | 1.8
FuelTank (UnityEngine.GameObject) | Data | FuelLevel | 258.4379
WhistleTrigger (UnityEngine.GameObject) | Raycast | Distance | 0
WhistleTrigger (UnityEngine.GameObject) | Raycast | Lane | 0
WhistleTrigger (UnityEngine.GameObject) | Raycast | LaneOther | 0
WhistleTrigger (UnityEngine.GameObject) | Raycast | RaycastDistance | 150
WhistleTrigger (UnityEngine.GameObject) | Raycast | Speed | 0
RearIK (UnityEngine.GameObject) | CalculateAngle | Tire1pos | -0.1242102
RearIK (UnityEngine.GameObject) | CalculateAngle | Tire2pos | -0.1164993
RearIK (UnityEngine.GameObject) | CalculateAngle | TireAngle | 0.2454433
RearIK (UnityEngine.GameObject) | CalculateAngle | Travel | -0.007710874
RearIK (UnityEngine.GameObject) | CalculateAngle | Wheelbase | 1.8
WheelHayosikoFR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
WheelHayosikoFR (UnityEngine.GameObject) | Data | SettingTireRadius | 0
WheelHayosikoFR (UnityEngine.GameObject) | Data | SettingTireWidth | 0
Rear_spoiler2 (UnityEngine.GameObject) | Data | Time | 0
OrderList (UnityEngine.GameObject) | Data | PriceTotal | 0
OrderList (UnityEngine.GameObject) | Data | TimeArrival | 0
OrderList (UnityEngine.GameObject) | Data | TimeCurrent | 0
ClutchCoverplate (UnityEngine.GameObject) | Data | Time | 0
ButtonWipers (UnityEngine.GameObject) | Function | Delay | 3
BoltPM (UnityEngine.GameObject) | Screw | Alignment | 8
BoltPM (UnityEngine.GameObject) | Screw | Max | 12
BoltPM (UnityEngine.GameObject) | Screw | Min | 1
Fender_Right (UnityEngine.GameObject) | Data | Time | 0
Results (UnityEngine.GameObject) | Data | DriverTime | 0
Results (UnityEngine.GameObject) | Data | OpponenMinTime | 340
Results (UnityEngine.GameObject) | Data | PlayerRecord | 3540
Results (UnityEngine.GameObject) | Data | PlayerTime | 0
Results (UnityEngine.GameObject) | Data | Record | 0
Results (UnityEngine.GameObject) | Data | Top3Times | 0
GIFU(750/450psi) (UnityEngine.GameObject) | LOD | Distance | 9.200377
GIFU(750/450psi) (UnityEngine.GameObject) | LOD | LOD | 200
GIFU(750/450psi) (UnityEngine.GameObject) | LOD | Y | -0.432422
Racing Radiator (UnityEngine.GameObject) | Data | Water | 7
PlayerShitTrigger (UnityEngine.GameObject) | Death | Distance | 0
Engineplate (UnityEngine.GameObject) | Data | Time | 0
Steering (UnityEngine.GameObject) | SteeringFL | Alignment | 0
Steering (UnityEngine.GameObject) | SteeringFR | Alignment | 0
FuelTank (UnityEngine.GameObject) | Data | FluidCoolant | 0
FuelTank (UnityEngine.GameObject) | Data | FluidDiesel | 0
FuelTank (UnityEngine.GameObject) | Data | FluidGasoline | 0
FuelTank (UnityEngine.GameObject) | Data | FluidOil | 0
FuelTank (UnityEngine.GameObject) | Data | FluidUrine | 0
FuelTank (UnityEngine.GameObject) | Data | FuelLevel | 32.98288
FuelTank (UnityEngine.GameObject) | Data | Mass | 36.98288
FuelTank (UnityEngine.GameObject) | Data | MaxCapacity | 36
LookTarget (UnityEngine.GameObject) | Move | Axis | -3.137814
LookTarget (UnityEngine.GameObject) | Move | Distance | 1597.715
Redlining (UnityEngine.GameObject) | RedLining | Bearing1 | 16
Redlining (UnityEngine.GameObject) | RedLining | CrankTightness | 10500
Redlining (UnityEngine.GameObject) | RedLining | Delay | 0
Redlining (UnityEngine.GameObject) | RedLining | EngineFriction | 3
Redlining (UnityEngine.GameObject) | RedLining | RealRPM | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.15
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloZ | 0
Temp (UnityEngine.GameObject) | Temp | Level | 0
Temp (UnityEngine.GameObject) | Temp | Rotation | -11.064
Crankwheel (UnityEngine.GameObject) | Data | Time | 0
Driveshaft (UnityEngine.GameObject) | Rotate | Turn | 0
FLATBED (UnityEngine.GameObject) | LOD | Distance | 13.96182
FLATBED (UnityEngine.GameObject) | LOD | LOD | 200
diesel(itemx) (UnityEngine.GameObject) | Explosion | Fuel | 0
diesel(itemx) (UnityEngine.GameObject) | Explosion | Math | 0
doorr (UnityEngine.GameObject) | Use | OldRot | 0
doorr (UnityEngine.GameObject) | Use | Rot | 0
doorr (UnityEngine.GameObject) | Use | Rotation | 0
Steel Headers (UnityEngine.GameObject) | Data | Time | 0
HouseShit4 (UnityEngine.GameObject) | LOD | Distance | 1679.291
HouseShit4 (UnityEngine.GameObject) | LOD | LOD | 300
OpenCap (UnityEngine.GameObject) | Screw | Rot | 359
OpenCap (UnityEngine.GameObject) | Screw | ScrewAmount | 33
OpenCap (UnityEngine.GameObject) | Screw | Scroll | 0
Simulation (UnityEngine.GameObject) | Time | CoolingSauna | 0.08
Simulation (UnityEngine.GameObject) | Time | CoolingStove | 0.02
Simulation (UnityEngine.GameObject) | Time | KnobRotation | 119.5333
Simulation (UnityEngine.GameObject) | Time | MaxHeat | 0.5
Simulation (UnityEngine.GameObject) | Time | MaxSaunaHeat | 113.3333
Simulation (UnityEngine.GameObject) | Time | Power | 0.34
Simulation (UnityEngine.GameObject) | Time | SaunaHeat | 113.3333
Simulation (UnityEngine.GameObject) | Time | StoveHeat | 680
Simulation (UnityEngine.GameObject) | Time | Time | 717.1998
wheelFR (UnityEngine.GameObject) | SetGrip | GripForward | 1.15
wheelFR (UnityEngine.GameObject) | SetGrip | GripSideways | 1.15
wheelFR (UnityEngine.GameObject) | Data | GripForward | 1.15
wheelFR (UnityEngine.GameObject) | Data | GripSideways | 1.15
