Database | Timingchain (UnityEngine.GameObject) | Data | Time | 0
KEKMET(350-400psi) | AirIntake (UnityEngine.GameObject) | InWater | WaterLevel | -4.5
Database | Fender_Left (UnityEngine.GameObject) | Data | Time | 0
JOBS | HouseShit1 (UnityEngine.GameObject) | LOD | Distance | 2048.248
JOBS | HouseShit1 (UnityEngine.GameObject) | LOD | LOD | 400
BOAT | Gear (UnityEngine.GameObject) | Use | Distance | 0
KEKMET(350-400psi) | Fuel (UnityEngine.GameObject) | FuelLine | Consumption | 280000
KEKMET(350-400psi) | Fuel (UnityEngine.GameObject) | FuelLine | FuelLevel | 32.57723
KEKMET(350-400psi) | Fuel (UnityEngine.GameObject) | FuelLine | FuelUsage | 0
KEKMET(350-400psi) | Fuel (UnityEngine.GameObject) | FuelLine | RandomRPM | 0
KEKMET(350-400psi) | Fuel (UnityEngine.GameObject) | FuelLine | RandomTime | 0
KEKMET(350-400psi) | Fuel (UnityEngine.GameObject) | FuelLine | TractorRPM | 0
FLATBED | LogTrigger (UnityEngine.GameObject) | Logic | Firewood | 0
FLATBED | LogTrigger (UnityEngine.GameObject) | Logic | Logs | 0
FLATBED | LogTrigger (UnityEngine.GameObject) | Logic | Mass | 500
FLATBED | LogTrigger (UnityEngine.GameObject) | Logic | Price | 0
FLATBED | LogTrigger (UnityEngine.GameObject) | Logic | Scale | 0
FLATBED | LogTrigger (UnityEngine.GameObject) | Logic | ScalePile | 0
CARPARTS | ClockCar (UnityEngine.GameObject) | Time | Hours24X | -0.1
CARPARTS | ClockCar (UnityEngine.GameObject) | Time | Minutes24X | -1.2
YARD | Sleep (UnityEngine.GameObject) | Activate | FadeTime | 4
YARD | Sleep (UnityEngine.GameObject) | Activate | GameVolume | 0
YARD | Sleep (UnityEngine.GameObject) | Activate | Rate | 0
Database | Airfilter (UnityEngine.GameObject) | Data | Time | 0
JOBS | PlayerShitTrigger (UnityEngine.GameObject) | Death | Distance | 0
Systems | KnockOut (UnityEngine.GameObject) | Activate | GameVolume | 0
Systems | KnockOut (UnityEngine.GameObject) | Activate | PassingOutTime | 0
Systems | KnockOut (UnityEngine.GameObject) | Activate | Rate | 0
Systems | KnockOut (UnityEngine.GameObject) | Activate | X | -90
YARD | YARD (UnityEngine.GameObject) | LOD | Distance | 14.2767
YARD | YARD (UnityEngine.GameObject) | LOD | LOD | 200
GIFU(750/450psi) | Air Pressure (UnityEngine.GameObject) | Pressure | Pressure | 870
GIFU(750/450psi) | Air Pressure (UnityEngine.GameObject) | Pressure | Rotation | -238.3562
TRAFFIC | TriggerOut (UnityEngine.GameObject) | Trigger | Distance | 0
Database | WheelSteelRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.165
Database | WheelSteelRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2715
Database | WheelSteelRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0.145
NPC_CARS | Ticket (UnityEngine.GameObject) | Button | Price | 25
Systems | PassOut (UnityEngine.GameObject) | Activate | Distance | 0
Systems | PassOut (UnityEngine.GameObject) | Activate | GameVolume | 0
Systems | PassOut (UnityEngine.GameObject) | Activate | PassingOutTime | 0
Systems | PassOut (UnityEngine.GameObject) | Activate | Rate | 0
Systems | PassOut (UnityEngine.GameObject) | Activate | X | -90
Database | Seat_Driver (UnityEngine.GameObject) | Data | Time | 0
FERNDALE(1630kg) | MuscleHandles (UnityEngine.GameObject) | Use | Rot | 0
HAYOSIKO(1500kg) | Handles (UnityEngine.GameObject) | Use | OldRot | 0
HAYOSIKO(1500kg) | Handles (UnityEngine.GameObject) | Use | Rot | 0
HAYOSIKO(1500kg) | Handles (UnityEngine.GameObject) | Use | Rotation | 0
GIFU(750/450psi) | TurnSignals (UnityEngine.GameObject) | Usage | Delay | 0.3
GIFU(750/450psi) | TurnSignals (UnityEngine.GameObject) | Usage | Volume | 0
GIFU(750/450psi) | TurnSignals (UnityEngine.GameObject) | Usage | WheelAngle | 0
SATSUMA(557kg) | Odometer (UnityEngine.GameObject) | Data | KmRot | -255.0617
SATSUMA(557kg) | Odometer (UnityEngine.GameObject) | Data | Meters | 8000
SATSUMA(557kg) | Odometer (UnityEngine.GameObject) | Data | MpS | 0
SATSUMA(557kg) | Odometer (UnityEngine.GameObject) | Data | Odo | 7085.046
SATSUMA(557kg) | Odometer (UnityEngine.GameObject) | Data | Rotation | -36
ITEMS | Water (UnityEngine.GameObject) | Level | Level | 0
ITEMS | Water (UnityEngine.GameObject) | Level | Scale | 1
ITEMS | Water (UnityEngine.GameObject) | Level | Water | 0
REPAIRSHOP | JunkYardJob (UnityEngine.GameObject) | Distance | CheckDistance | 50
REPAIRSHOP | JunkYardJob (UnityEngine.GameObject) | Distance | Distance | 0
COTTAGE | Water (UnityEngine.GameObject) | Level | Level | 0
COTTAGE | Water (UnityEngine.GameObject) | Level | Scale | 1
COTTAGE | Water (UnityEngine.GameObject) | Level | Water | 0
GIFU(750/450psi) | Parking Brake (UnityEngine.GameObject) | Add Joint | MinimumRequiredVelocity | 0.08
GIFU(750/450psi) | Parking Brake (UnityEngine.GameObject) | Add Joint | VeloX | 0.002674715
GIFU(750/450psi) | Parking Brake (UnityEngine.GameObject) | Add Joint | VeloY | -0.005559814
GIFU(750/450psi) | Parking Brake (UnityEngine.GameObject) | Add Joint | VeloZ | 0.001700646
GIFU(750/450psi) | Parking Brake (UnityEngine.GameObject) | Brake | BrakePressure | 1
HAYOSIKO(1500kg) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Emission | 0
HAYOSIKO(1500kg) | FromEngine (UnityEngine.GameObject) | ExhaustSound | RPM | 0
HAYOSIKO(1500kg) | FromEngine (UnityEngine.GameObject) | ExhaustSound | RPM2 | 0
HAYOSIKO(1500kg) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Throttle | 0
HAYOSIKO(1500kg) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Velocity | 0
Database | ClutchPlate (UnityEngine.GameObject) | Data | Time | 0
TRAFFIC | TriggerIn (UnityEngine.GameObject) | Trigger | Distance | 0
COTTAGE | lantern(itemx) (UnityEngine.GameObject) | Use | Intensity | 0
SATSUMA(557kg) | PlayerTrigger (UnityEngine.GameObject) | PlayerTrigger | Distance | 0
Database | SteeringRod_FR (UnityEngine.GameObject) | Data | Alignment | 0
COTTAGE | WoodTrigger (UnityEngine.GameObject) | Trigger | Wood | 0
JONNEZ ES(Clone) | Starter (UnityEngine.GameObject) | Starter | FuelLevel | 0
JONNEZ ES(Clone) | Starter (UnityEngine.GameObject) | Starter | RPM | 0
Database | GaugeRPM (UnityEngine.GameObject) | Data | Time | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Raycast | Distance | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Raycast | Lane | 2
NPC_CARS | Navigation (UnityEngine.GameObject) | Raycast | LaneOther | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Raycast | RaycastDistance | 400
NPC_CARS | Navigation (UnityEngine.GameObject) | Raycast | Speed | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | Aggression | 57.47253
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | Difference | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | Distance | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | LaneDrive | 2
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | LanePassing | -2
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | Math | 7.224952
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | PassMultiplier | 1.5
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | ReturnLane | 2
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | SpeedHigh | 60
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | SpeedLow | 50
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | SpeedMax | 60.73013
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | SpeedMin | 53.50518
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | SpeedOther | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | SpeedThis | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Passing | Steer | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Brakezones | BrakeDistance | 12
NPC_CARS | Navigation (UnityEngine.GameObject) | Brakezones | Distance | 0
NPC_CARS | Navigation (UnityEngine.GameObject) | Brakezones | Distance0 | 249.3082
NPC_CARS | Navigation (UnityEngine.GameObject) | Brakezones | Distance1 | 200.3902
NPC_CARS | Navigation (UnityEngine.GameObject) | Brakezones | Distance2 | 295.4488
NPC_CARS | Navigation (UnityEngine.GameObject) | Brakezones | Distance3 | 235.049
NPC_CARS | Navigation (UnityEngine.GameObject) | Brakezones | Distance4 | 478.2786
NPC_CARS | Navigation (UnityEngine.GameObject) | Brakezones | Distance5 | 2183.501
Database | WheelRallyRR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
Database | WheelRallyRR (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2875
Database | WheelRallyRR (UnityEngine.GameObject) | Data | SettingTireWidth | 0.163
Database | WheelHayosikoRL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
Database | WheelHayosikoRL (UnityEngine.GameObject) | Data | SettingTireRadius | 0
Database | WheelHayosikoRL (UnityEngine.GameObject) | Data | SettingTireWidth | 0
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Alignment | 7.5
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Max | 12
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Min | 1
PERAJARVI | CHURCH (UnityEngine.GameObject) | LOD | Distance | 1801.724
PERAJARVI | CHURCH (UnityEngine.GameObject) | LOD | LOD | 200
Database | WheelRallyFL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
Database | WheelRallyFL (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2875
Database | WheelRallyFL (UnityEngine.GameObject) | Data | SettingTireWidth | 0.163
ITEMS | BoltPM (UnityEngine.GameObject) | Screw | BoltSize | 0
ITEMS | BoltPM (UnityEngine.GameObject) | Screw | Scroll | 0
Database | Flares_RL (UnityEngine.GameObject) | Data | Time | 0
Database | WheelSteelFR (UnityEngine.GameObject) | Data | SettingRimRadius | 0.165
Database | WheelSteelFR (UnityEngine.GameObject) | Data | SettingTireRadius | 0.2715
Database | WheelSteelFR (UnityEngine.GameObject) | Data | SettingTireWidth | 0.145
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitLevel | 1.391825
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | ShitRate | 0.007683273
JOBS | ShitLevelTrigger (UnityEngine.GameObject) | Level | Tolerance | 0.5
JOBS | LookTarget (UnityEngine.GameObject) | Move | Z | 0.09048864
NPC_CARS | STATUSD (UnityEngine.GameObject) | LOD | Distance | 1715.617
NPC_CARS | STATUSD (UnityEngine.GameObject) | LOD | LOD | 300
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | Brake | 0
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | CrashSpeed | 0
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | DeathSpeedMPS | 5
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | RPM | 0
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | RandomThrottle | 0.9001546
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | SpeedCurrent | 58.66246
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | SpeedMax | 60.73013
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | SpeedMin | 53.50518
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | TargetSpeed | 0
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | ThrottleAccel | 0.85
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | ThrottleCruise | 0.1
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | Velo | 0
NPC_CARS | STATUSD (UnityEngine.GameObject) | Throttle | Wait | 0.9174122
NPC_CARS | STATUSD (UnityEngine.GameObject) | Steering | Angle | 8.671103
NPC_CARS | STATUSD (UnityEngine.GameObject) | Steering | Angle2 | 0.3593095
NPC_CARS | STATUSD (UnityEngine.GameObject) | Steering | Lane | 2
NPC_CARS | STATUSD (UnityEngine.GameObject) | Steering | SpeedKMH | 58.66246
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | Charge | 127
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | Cooling | 0
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | Heat | 0
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | HeatGeneration | 10000
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | Math1 | 168
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | Temp | 24
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | WaterCoolEfficiency | 0
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | WaterLevel | 7
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | WaterPressureDivider | 57.1
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | WaterPressureLimit | 16
SATSUMA(557kg) | Cooling (UnityEngine.GameObject) | Cooling | WaterPressurePSI | 0
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Alignment | 7.5
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Max | 12
SATSUMA(557kg) | BoltPM (UnityEngine.GameObject) | Screw | Min | 1
GIFU(750/450psi) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Emission | 0
GIFU(750/450psi) | FromEngine (UnityEngine.GameObject) | ExhaustSound | RPM | 0
GIFU(750/450psi) | FromEngine (UnityEngine.GameObject) | ExhaustSound | RPM2 | 0
GIFU(750/450psi) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Throttle | 0
GIFU(750/450psi) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Velocity | 0
GIFU(750/450psi) | Sleep (UnityEngine.GameObject) | Activate | FadeTime | 4
GIFU(750/450psi) | Sleep (UnityEngine.GameObject) | Activate | GameVolume | 0
GIFU(750/450psi) | Sleep (UnityEngine.GameObject) | Activate | Rate | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | Knob | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | Rot | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | Scroll | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | X | 0
SATSUMA(557kg) | opener (UnityEngine.GameObject) | Knob | Y | 0
STORE | STORE (UnityEngine.GameObject) | LOD | Distance | 1934.861
STORE | STORE (UnityEngine.GameObject) | LOD | LOD | 400
ITEMS | Trigger (UnityEngine.GameObject) | Use | Y | 0.04
NPC_CARS | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.15
NPC_CARS | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
NPC_CARS | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
NPC_CARS | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloZ | 0
Database | Twin Carburators (UnityEngine.GameObject) | Data | IdleAdjust | 14.1
Database | Twin Carburators (UnityEngine.GameObject) | Data | Max | 18
Database | Twin Carburators (UnityEngine.GameObject) | Data | Min | 13
Database | Flares_RR (UnityEngine.GameObject) | Data | Time | 0
JONNEZ ES(Clone) | Speedometer (UnityEngine.GameObject) | Speed | RPM | 0
JONNEZ ES(Clone) | Speedometer (UnityEngine.GameObject) | Speed | Rotation | 0
JONNEZ ES(Clone) | Speedometer (UnityEngine.GameObject) | Speed | Speed | 0
Database | Drivegear (UnityEngine.GameObject) | Data | Time | 0
DRAGRACE | DRAGRACE (UnityEngine.GameObject) | LOD | Distance | 1267.139
DRAGRACE | DRAGRACE (UnityEngine.GameObject) | LOD | LOD | 700
NPC_CARS | HeadPivot (UnityEngine.GameObject) | Look | Rot | 295.3667
MAP | SoundAmbience (UnityEngine.GameObject) | DayNight | FadeTime | 8
MAP | SoundAmbience (UnityEngine.GameObject) | DayNight | MaxVolume | 1
ITEMS | Hoist (UnityEngine.GameObject) | Hook | BreakForce | 62000
ITEMS | Hoist (UnityEngine.GameObject) | BoltCheck | BoltedNO | 0
ITEMS | Hoist (UnityEngine.GameObject) | BoltCheck | BoltedYES | 10
ITEMS | Hoist (UnityEngine.GameObject) | BoltCheck | Tightness | 0
TRAFFIC | BusStopKesseli (UnityEngine.GameObject) | Stopping | Distance | 2130.421
HAYOSIKO(1500kg) | Driveshaft (UnityEngine.GameObject) | FSM | Turn | 0
ITEMS | gasoline(itemx) (UnityEngine.GameObject) | Explosion | Fuel | 0
ITEMS | gasoline(itemx) (UnityEngine.GameObject) | Explosion | Math | 0
Database | CamshaftGear (UnityEngine.GameObject) | Data | Time | 0
Database | WheelSpokeFL (UnityEngine.GameObject) | Data | SettingRimRadius | 0.175
Database | WheelSpokeFL (UnityEngine.GameObject) | Data | SettingTireRadius | 0
Database | WheelSpokeFL (UnityEngine.GameObject) | Data | SettingTireWidth | 0
GIFU(750/450psi) | RPM (UnityEngine.GameObject) | RPM | RPM | 0
GIFU(750/450psi) | RPM (UnityEngine.GameObject) | RPM | Rotation | 0
KEKMET(350-400psi) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Emission | 0
KEKMET(350-400psi) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Pitch | 0
KEKMET(350-400psi) | FromEngine (UnityEngine.GameObject) | ExhaustSound | Velocity | 0
Database | Hubcap_RR (UnityEngine.GameObject) | Data | Time | 0
YARD | HouseElectricity (UnityEngine.GameObject) | Status | Blackout | 0
YARD | HouseElectricity (UnityEngine.GameObject) | Status | Distance | 0
JONNEZ ES(Clone) | OpenCap (UnityEngine.GameObject) | Screw | Rot | 359
JONNEZ ES(Clone) | OpenCap (UnityEngine.GameObject) | Screw | ScrewAmount | 33
JONNEZ ES(Clone) | OpenCap (UnityEngine.GameObject) | Screw | Scroll | 0
Database | Sparkplug3 (UnityEngine.GameObject) | Data | Time | 0
SATSUMA(557kg) | Starter (UnityEngine.GameObject) | Starter | Charge | 0
SATSUMA(557kg) | Starter (UnityEngine.GameObject) | Starter | StarterPitch | 0
HAYOSIKO(1500kg) | VanHandles (UnityEngine.GameObject) | Use | OldRot | 0
HAYOSIKO(1500kg) | VanHandles (UnityEngine.GameObject) | Use | Rot | 0
HAYOSIKO(1500kg) | VanHandles (UnityEngine.GameObject) | Use | Rotation | 0
Database | Bucket Seat Passenger (UnityEngine.GameObject) | Data | Time | 0
SATSUMA(557kg) | trigger_xmas_lights (UnityEngine.GameObject) | Assembly | Distance | 15.08655
HAYOSIKO(1500kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | MinimumRequiredVelocity | 0.15
HAYOSIKO(1500kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | Speed | 0
HAYOSIKO(1500kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloX | 0
HAYOSIKO(1500kg) | DriveTrigger (UnityEngine.GameObject) | PlayerTrigger | VeloY | 0
